Criteria,Weight,Criterion Description,Rating,Description
"Module Organisation & Imports","25%","Correct placement of all 19 provided functions into appropriate modules. Import statements complete and correct in all 3 files.","Excellent","All 19 functions correctly placed in appropriate modules following clear separation of concerns. Import statements are complete and correct in all 3 files using proper 'from module import function' syntax. Only imports what's needed. All imports at top of files. Demonstrates comprehensive understanding of module organisation principles."
"Module Organisation & Imports","25%","Correct placement of all 19 provided functions into appropriate modules. Import statements complete and correct in all 3 files.","Very Good","Functions correctly placed with 1-2 minor misplacements. Good understanding of module separation. Import statements mostly correct with minor issues (importing slightly more than needed). Demonstrates well-developed capacity for organising multi-file projects with minor issues."
"Module Organisation & Imports","25%","Correct placement of all 19 provided functions into appropriate modules. Import statements complete and correct in all 3 files.","Good","Functions generally in correct modules with 3-4 misplacements showing some confusion about responsibilities. Import statements present but some missing or using less efficient patterns (importing entire modules). Demonstrates acceptable grasp of module organisation with some lack of clarity."
"Module Organisation & Imports","25%","Correct placement of all 19 provided functions into appropriate modules. Import statements complete and correct in all 3 files.","Satisfactory","Several functions (5+) in wrong modules showing unclear understanding of module purposes. Import statements incomplete or have errors. Demonstrates basic understanding but lacking detail with several placement errors."
"Module Organisation & Imports","25%","Correct placement of all 19 provided functions into appropriate modules. Import statements complete and correct in all 3 files.","Acceptable","Many functions incorrectly placed. No clear separation of concerns. Import statements have major errors or missing many required imports. Limited focus on correct module organisation."
"Module Organisation & Imports","25%","Correct placement of all 19 provided functions into appropriate modules. Import statements complete and correct in all 3 files.","Fail","No proper module organisation or completely random placement. Import statements missing or completely incorrect. Programme does not run due to import/organisation errors. Deficient understanding of modular programming."
"File Operations Implementation","50%","Seven new file operation functions correctly implemented with proper error handling. JSON operations use appropriate format. Export functions generate correct output formats.","Excellent","All 7 file operation functions correctly implemented. Load functions return correct data types and handle both FileNotFoundError and JSONDecodeError gracefully. Save functions use json.dump() with indent=2 and handle IOError. CSV exports use csv.writer with proper headers and formatting (prices to 2 decimals). Low stock export filters correctly. Text report is professionally formatted with header, timestamp, aligned table, and footer with totals. Export filenames include timestamps. Demonstrates excellent ability to implement file I/O with comprehensive error handling."
"File Operations Implementation","50%","Seven new file operation functions correctly implemented with proper error handling. JSON operations use appropriate format. Export functions generate correct output formats.","Very Good","All 7 functions implemented and working. Good error handling for most file operations (FileNotFoundError, JSONDecodeError handled). Uses indent=2 for JSON. CSV exports have headers and good structure. Text report well-formatted. Timestamps used in most exports. Minor issues in error messages or formatting. Demonstrates well-developed capacity for file operations with minor gaps."
"File Operations Implementation","50%","Seven new file operation functions correctly implemented with proper error handling. JSON operations use appropriate format. Export functions generate correct output formats.","Good","All 7 functions present and mostly working. Basic error handling implemented but may miss some error types. JSON saves work but may occasionally miss indent=2. CSV exports include headers but may have minor formatting issues. Text report has basic structure. Timestamp usage attempted. Demonstrates acceptable implementation with some lack of completeness."
"File Operations Implementation","50%","Seven new file operation functions correctly implemented with proper error handling. JSON operations use appropriate format. Export functions generate correct output formats.","Satisfactory","All 7 functions attempted but incomplete error handling. May crash on some file errors. JSON operations work but inconsistent use of indent. CSV exports may be missing headers or have structural issues. Text report has minimal formatting. Timestamps missing from some exports. Demonstrates basic understanding but lacking robustness."
"File Operations Implementation","50%","Seven new file operation functions correctly implemented with proper error handling. JSON operations use appropriate format. Export functions generate correct output formats.","Acceptable","Functions attempted but several have major errors. Poor error handling throughout. JSON operations unreliable. CSV exports have major formatting problems. Text report poorly structured. No timestamps. Limited focus on correct implementation."
"File Operations Implementation","50%","Seven new file operation functions correctly implemented with proper error handling. JSON operations use appropriate format. Export functions generate correct output formats.","Fail","Functions missing or completely broken. No error handling - programme crashes on file operations. JSON/CSV/TXT outputs incorrect or missing. Wholly unacceptable with deficient understanding of file I/O."
"Code Quality of New Functions","5%","Organisation, naming conventions, and PEP 8 compliance in the 7 new file operation functions written by student.","Excellent","All new functions are well-organised and logically ordered. Variable names are meaningful and follow snake_case. Code fully adheres to PEP 8 conventions: 4-space indentation, proper spacing around operators, appropriate line length. Professional appearance. Demonstrates excellent code quality practices."
"Code Quality of New Functions","5%","Organisation, naming conventions, and PEP 8 compliance in the 7 new file operation functions written by student.","Very Good","Functions well-organised with good grouping. Most names meaningful and follow conventions. Code mostly follows PEP 8 with minor inconsistencies. Demonstrates well-developed understanding of code quality standards."
"Code Quality of New Functions","5%","Organisation, naming conventions, and PEP 8 compliance in the 7 new file operation functions written by student.","Good","Functions adequately organised. Names generally meaningful with some poor choices. Code partially follows PEP 8 with noticeable inconsistencies. Demonstrates acceptable code quality with room for improvement."
"Code Quality of New Functions","5%","Organisation, naming conventions, and PEP 8 compliance in the 7 new file operation functions written by student.","Satisfactory","Basic organisation of functions. Names often unclear or don't follow conventions. Multiple PEP 8 violations (inconsistent indentation, poor spacing). Demonstrates basic awareness of standards but inconsistent application."
"Code Quality of New Functions","5%","Organisation, naming conventions, and PEP 8 compliance in the 7 new file operation functions written by student.","Acceptable","Poor organisation of functions. Names often meaningless or don't follow conventions. Code ignores PEP 8. Demonstrates limited focus on code quality."
"Code Quality of New Functions","5%","Organisation, naming conventions, and PEP 8 compliance in the 7 new file operation functions written by student.","Fail","No organisation. Code unreadable due to poor naming and formatting. No adherence to any standards."
"Documentation","20%","Header comments in all 3 Python files. Docstrings and inline comments in new functions. References, AI statement and self-reflection included.","Excellent","All 3 .py files have complete header comments (filename, name, student ID, date, module description). All 7 new file operation functions have clear docstrings explaining purpose, parameters, and return values. Inline comments explain complex logic in new functions without over-commenting. All external sources properly referenced (websites, Stack Overflow, videos, books) with URLs and clear usage notes. AI usage (if any) is thoroughly documented with prompts, critical evaluation and working links; or explicit statement that no AI was used. Self-reflection statement demonstrates genuine engagement with module organisation and file persistence concepts. Demonstrates comprehensive documentation practices."
"Documentation","20%","Header comments in all 3 Python files. Docstrings and inline comments in new functions. References, AI statement and self-reflection included.","Very Good","All 3 files have headers with most required elements. Most (6+) new functions have good docstrings. Inline comments explain key sections. Most external sources referenced with URLs and usage notes. AI usage is well documented, but links don't work, or AI is clearly stated as not used. Self-reflection discusses A3 concepts with some insight. Demonstrates well-developed documentation skills."
"Documentation","20%","Header comments in all 3 Python files. Docstrings and inline comments in new functions. References, AI statement and self-reflection included.","Good","All 3 files have basic headers but may be missing some elements. Many (4-5) new functions have docstrings. Some inline comments present. Some external sources referenced but missing details. AI usage documented but insufficiently detailed. Self-reflection mentions A3 topics but ideas not fully developed. Demonstrates acceptable documentation."
"Documentation","20%","Header comments in all 3 Python files. Docstrings and inline comments in new functions. References, AI statement and self-reflection included.","Satisfactory","Headers present in all files but incomplete. Some (2-3) new functions have docstrings. Minimal inline comments. External sources listed but no usage notes. AI usage documentation vague or incomplete. Self-reflection basic with only some engagement with A3 topics. Demonstrates basic awareness of documentation requirements."
"Documentation","20%","Header comments in all 3 Python files. Docstrings and inline comments in new functions. References, AI statement and self-reflection included.","Acceptable","Headers missing elements in multiple files. Few (0-1) new functions have docstrings. Almost no inline comments. Minimal referencing. AI usage poorly documented. Self-reflection superficial with no specific mention of A3 topics. Limited documentation effort."
"Documentation","20%","Header comments in all 3 Python files. Docstrings and inline comments in new functions. References, AI statement and self-reflection included.","Fail","No headers or completely inadequate. No docstrings. No comments. No references. AI usage undisclosed or misrepresented. No self-reflection. No documentation present."
